CMDLINE python user_interface.py
MEM 1.980469 1744725618.7946
MEM 22.226562 1744725618.8954
MEM 24.781250 1744725618.9958
MEM 25.535156 1744725619.0963
MEM 25.816406 1744725619.1969
MEM 26.328125 1744725619.2974
MEM 26.804688 1744725619.3979
MEM 27.304688 1744725619.4985
MEM 29.890625 1744725619.5990
MEM 36.417969 1744725619.6995
MEM 37.843750 1744725619.7997
MEM 45.062500 1744725619.9002
MEM 49.898438 1744725620.0008
MEM 54.414062 1744725620.1009
MEM 55.378906 1744725620.2014
MEM 59.937500 1744725620.3019
MEM 64.550781 1744725620.4024
MEM 68.589844 1744725620.5026
MEM 72.117188 1744725620.6028
MEM 81.996094 1744725620.7030
MEM 93.113281 1744725620.8032
